date,
2021-06-09,42
2021-06-10,76
2021-06-11,67
2021-06-12,87
2021-06-13,72
2021-06-14,61
2021-06-15,78
2021-06-16,61
2021-06-17,44
2021-06-18,82
2021-06-19,53
2021-06-20,71
2021-06-21,57
2021-06-22,66
2021-06-23,58
2021-06-24,45
2021-06-25,72
2021-06-26,80
2021-06-27,90
2021-06-28,72
2021-06-29,49
2021-06-30,62
2021-07-01,78
2021-07-02,63
2021-07-03,36
2021-07-04,59
2021-07-05,54
2021-07-06,57
2021-07-07,56
2021-07-08,36
2021-07-09,79
2021-07-10,50
2021-07-11,67
2021-07-12,68
2021-07-13,56
2021-07-14,69
2021-07-15,91
2021-07-16,36
2021-07-17,42
2021-07-18,49
2021-07-19,51
2021-07-20,54
2021-07-21,66
2021-07-22,62
2021-07-23,50
2021-07-24,40
2021-07-25,71
2021-07-26,59
2021-07-27,60
2021-07-28,45
2021-07-29,49
2021-07-30,52
2021-07-31,86
2021-08-01,60
2021-08-02,70
2021-08-03,52
2021-08-04,73
2021-08-05,66
2021-08-06,80
2021-08-07,56
2021-08-08,57
2021-08-09,79
2021-08-10,57
2021-08-11,91
2021-08-12,50
2021-08-13,59
2021-08-14,71
2021-08-15,54
2021-08-16,60
2021-08-17,35
2021-08-18,40
2021-08-19,36
2021-08-20,51
2021-08-21,51
2021-08-22,51
2021-08-23,32
2021-08-24,75
2021-08-25,70
2021-08-26,43
2021-08-27,50
2021-08-28,43
2021-08-29,73
2021-08-30,46
2021-08-31,33
2021-09-01,43
2021-09-02,74
2021-09-03,38
2021-09-04,68
2021-09-05,67
2021-09-06,52
2021-09-07,67
2021-09-08,55
2021-09-09,34
2021-09-10,46
2021-09-11,47
2021-09-12,51
2021-09-13,44
2021-09-14,65
2021-09-15,62
2021-09-16,57
2021-09-17,45
2021-09-18,30
2021-09-19,73
2021-09-20,57
2021-09-21,55
2021-09-22,80
2021-09-23,79
2021-09-24,66
2021-09-25,90
2021-09-26,63
2021-09-27,49
2021-09-28,82
2021-09-29,62
2021-09-30,81
2021-10-01,59
2021-10-02,59
2021-10-03,100
2021-10-04,88
2021-10-05,70
2021-10-06,66
2021-10-07,69
2021-10-08,71
2021-10-09,49
2021-10-10,61
2021-10-11,35
2021-10-12,54
2021-10-13,49
2021-10-14,60
2021-10-15,47
2021-10-16,52
2021-10-17,64
2021-10-18,63
2021-10-19,51
2021-10-20,52
2021-10-21,91
2021-10-22,72
2021-10-23,92
2021-10-24,52
2021-10-25,60
2021-10-26,66
2021-10-27,61
2021-10-28,55
2021-10-29,81
2021-10-30,70
2021-10-31,80
2021-11-01,74
2021-11-02,57
2021-11-03,40
2021-11-04,52
2021-11-05,74
2021-11-06,44
2021-11-07,47
2021-11-08,58
2021-11-09,81
2021-11-10,44
2021-11-11,49
2021-11-12,80
2021-11-13,53
2021-11-14,78
2021-11-15,91
2021-11-16,73
2021-11-17,37
2021-11-18,54
2021-11-19,76
2021-11-20,53
2021-11-21,73
2021-11-22,67
2021-11-23,63
2021-11-24,56
2021-11-25,59
2021-11-26,53
2021-11-27,34
2021-11-28,66
2021-11-29,61
2021-11-30,45
2021-12-01,57
2021-12-02,51
2021-12-03,50
2021-12-04,59
2021-12-05,39
2021-12-06,38
2021-12-07,37
2021-12-08,66
2021-12-09,30
2021-12-10,45
2021-12-11,56
2021-12-12,55
